,AccountSubType,AccountType,AcctNum,Active,Classification,CurrencyRef,CurrentBalance,CurrentBalanceWithSubAccounts,Description,FullyQualifiedName,Id,MetaData,Name,SubAccount,SyncToken,domain,sparse
CreateTime,PrepaidExpenses,Other Current Asset,,True,Asset,,0,0,,Prepaid Expenses,91,2023-02-24T03:01:51-08:00,Prepaid Expenses,False,0,QBO,False
LastUpdatedTime,PrepaidExpenses,Other Current Asset,,True,Asset,,0,0,,Prepaid Expenses,91,2023-02-24T03:01:51-08:00,Prepaid Expenses,False,0,QBO,False
name,AdvertisingPromotional,Expense,,True,Expense,United States Dollar,0,0,,Promotional,106,,Promotional,False,0,QBO,False
type,AdvertisingPromotional,Expense,,True,Expense,,0,0,,Promotional,106,,Promotional,False,0,QBO,False
value,AdvertisingPromotional,Expense,,True,Expense,USD,0,0,,Promotional,106,,Promotional,False,0,QBO,False
CreateTime,AdvertisingPromotional,Expense,,True,Expense,,0,0,,Promotional,106,2023-02-24T03:01:52-08:00,Promotional,False,0,QBO,False
LastUpdatedTime,AdvertisingPromotional,Expense,,True,Expense,,0,0,,Promotional,106,2023-02-24T03:01:52-08:00,Promotional,False,0,QBO,False
name,DiscountsRefundsGiven,Income,,True,Revenue,United States Dollar,0,0,,Refunds-Allowances,95,,Refunds-Allowances,False,0,QBO,False
type,DiscountsRefundsGiven,Income,,True,Revenue,,0,0,,Refunds-Allowances,95,,Refunds-Allowances,False,0,QBO,False
value,DiscountsRefundsGiven,Income,,True,Revenue,USD,0,0,,Refunds-Allowances,95,,Refunds-Allowances,False,0,QBO,False
CreateTime,DiscountsRefundsGiven,Income,,True,Revenue,,0,0,,Refunds-Allowances,95,2023-02-24T03:01:51-08:00,Refunds-Allowances,False,0,QBO,False
LastUpdatedTime,DiscountsRefundsGiven,Income,,True,Revenue,,0,0,,Refunds-Allowances,95,2023-02-24T03:01:51-08:00,Refunds-Allowances,False,0,QBO,False
name,RentOrLeaseOfBuildings,Expense,,True,Expense,United States Dollar,0,0,,Rent or Lease,107,,Rent or Lease,False,0,QBO,False
type,RentOrLeaseOfBuildings,Expense,,True,Expense,,0,0,,Rent or Lease,107,,Rent or Lease,False,0,QBO,False
value,RentOrLeaseOfBuildings,Expense,,True,Expense,USD,0,0,,Rent or Lease,107,,Rent or Lease,False,0,QBO,False
